entity,thumbnail_url
http://dbpedia.org/resource/Anarchism,http://commons.wikimedia.org/wiki/Special:FilePath/WilhelmWeitling.jpg?width=300
http://dbpedia.org/resource/Alabama,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Alabama.svg?width=300
http://dbpedia.org/resource/Abraham_Lincoln,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham_Lincoln_O-77_matte_collodion_print.jpg?width=300
http://dbpedia.org/resource/Academy_Awards,http://commons.wikimedia.org/wiki/Special:FilePath/Academy_Award_trophy.png?width=300
http://dbpedia.org/resource/Aristotle,http://commons.wikimedia.org/wiki/Special:FilePath/Aristotle_Altemps_Inv8575.jpg?width=300
http://dbpedia.org/resource/Academy_Award_for_Best_Production_Design,
http://dbpedia.org/resource/Ayn_Rand,http://commons.wikimedia.org/wiki/Special:FilePath/Ayn_Rand_(1943_Talbot_portrait).jpg?width=300
http://dbpedia.org/resource/Algeria,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Algeria.svg?width=300
http://dbpedia.org/resource/Andorra,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Andorra.svg?width=300
http://dbpedia.org/resource/Alaska,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Alaska.svg?width=300
http://dbpedia.org/resource/Cultivation,
http://dbpedia.org/resource/Aldous_Huxley,http://commons.wikimedia.org/wiki/Special:FilePath/Aldous_Huxley_psychical_researcher.png?width=300
http://dbpedia.org/resource/Asia,http://commons.wikimedia.org/wiki/Special:FilePath/Asia_(orthographic_projection).svg?width=300
http://dbpedia.org/resource/Arthur_Schopenhauer,"http://commons.wikimedia.org/wiki/Special:FilePath/Arthur_Schopenhauer_by_J_Schäfer,_1859b.jpg?width=300"
http://dbpedia.org/resource/Aruba,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Aruba.svg?width=300
http://dbpedia.org/resource/Angola,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Angola.svg?width=300
http://dbpedia.org/resource/Alberta,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Alberta.svg?width=300
http://dbpedia.org/resource/Afghanistan,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Taliban.svg?width=300
http://dbpedia.org/resource/Albania,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Albania.svg?width=300
http://dbpedia.org/resource/Albert_Einstein,http://commons.wikimedia.org/wiki/Special:FilePath/Einstein_1921_by_F_Schmutzer_-_restoration.jpg?width=300
http://dbpedia.org/resource/Art,http://commons.wikimedia.org/wiki/Special:FilePath/Art-portrait-collage_2.jpg?width=300
http://dbpedia.org/resource/Azerbaijan,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Azerbaijan.svg?width=300
http://dbpedia.org/resource/American_Revolutionary_War,http://commons.wikimedia.org/wiki/Special:FilePath/Revolutionary_War_(collage).jpg?width=300
http://dbpedia.org/resource/Alexander_the_Great,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander_Mosaic-high_res_fragment.jpg?width=300
http://dbpedia.org/resource/Ankara,http://commons.wikimedia.org/wiki/Special:FilePath/Ankara_from_bus_station.jpg?width=300
http://dbpedia.org/resource/Aegean_Sea,http://commons.wikimedia.org/wiki/Special:FilePath/Aegean_Sea_map.png?width=300
http://dbpedia.org/resource/Alfred_Hitchcock,"http://commons.wikimedia.org/wiki/Special:FilePath/Hitchcock,_Alfred_02.jpg?width=300"
http://dbpedia.org/resource/Amsterdam,http://commons.wikimedia.org/wiki/Special:FilePath/KeizersgrachtReguliersgrachtAmsterdam.jpg?width=300
http://dbpedia.org/resource/Andy_Warhol,http://commons.wikimedia.org/wiki/Special:FilePath/Andy_Warhol_at_the_Jewish_Museum_(by_Bernard_Gotfryd)_–_LOC.jpg?width=300
http://dbpedia.org/resource/American_Civil_War,http://commons.wikimedia.org/wiki/Special:FilePath/CivilWarUSAColl.png?width=300
http://dbpedia.org/resource/Apple_Inc.,http://commons.wikimedia.org/wiki/Special:FilePath/Apple_logo_black.svg?width=300
http://dbpedia.org/resource/Anglican_Communion,http://commons.wikimedia.org/wiki/Special:FilePath/Cantercross.svg?width=300
http://dbpedia.org/resource/Antigua_and_Barbuda,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Antigua_and_Barbuda.svg?width=300
http://dbpedia.org/resource/Albert_Camus,"http://commons.wikimedia.org/wiki/Special:FilePath/Albert_Camus,_gagnant_de_prix_Nobel,_portrait_en_buste,_posé_au_bureau,_faisant_face_à_gauche,_cigarette_de_tabagisme.jpg?width=300"
http://dbpedia.org/resource/Alps,http://commons.wikimedia.org/wiki/Special:FilePath/ISS058-E-13136_-_View_of_Earth.jpg?width=300
http://dbpedia.org/resource/Agatha_Christie,http://commons.wikimedia.org/wiki/Special:FilePath/Agatha_Christie.png?width=300
http://dbpedia.org/resource/Allen_Ginsberg,http://commons.wikimedia.org/wiki/Special:FilePath/Allen_Ginsberg_1979_-_cropped.jpg?width=300
http://dbpedia.org/resource/Aarhus,"http://commons.wikimedia.org/wiki/Special:FilePath/Montage_of_Aarhus_-_view_from_city_hall,_city_hall_by_night,_isbjerget,_park_alle.jpg?width=300"
http://dbpedia.org/resource/Adelaide,http://commons.wikimedia.org/wiki/Special:FilePath/Adelaide's_updated_montage.jpg?width=300
http://dbpedia.org/resource/Alan_Turing,http://commons.wikimedia.org/wiki/Special:FilePath/Alan_Turing_Aged_16.jpg?width=300
http://dbpedia.org/resource/Anguilla,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Anguilla.svg?width=300
http://dbpedia.org/resource/Athens,http://commons.wikimedia.org/wiki/Special:FilePath/Athens_Montage_L.png?width=300
http://dbpedia.org/resource/Augustus,http://commons.wikimedia.org/wiki/Special:FilePath/Statue-Augustus.jpg?width=300
"http://dbpedia.org/resource/Ames,_Iowa",http://commons.wikimedia.org/wiki/Special:FilePath/Ames_Montage.jpg?width=300
http://dbpedia.org/resource/Andes,http://commons.wikimedia.org/wiki/Special:FilePath/Cordillera_de_los_Andes.jpg?width=300
http://dbpedia.org/resource/AOL,http://commons.wikimedia.org/wiki/Special:FilePath/AOL_logo.svg?width=300
http://dbpedia.org/resource/Australian_Labor_Party,http://commons.wikimedia.org/wiki/Special:FilePath/ALP_logo_2017.svg?width=300
http://dbpedia.org/resource/Aachen,http://commons.wikimedia.org/wiki/Special:FilePath/Aachen_Cathedral_night.jpg?width=300
http://dbpedia.org/resource/Andrew_Jackson,http://commons.wikimedia.org/wiki/Special:FilePath/Andrew_jackson_head.jpg?width=300
http://dbpedia.org/resource/Aberdeen,http://commons.wikimedia.org/wiki/Special:FilePath/North_Esplanade_West_-_geograph.org.uk_-_1446539.jpg?width=300
http://dbpedia.org/resource/Algiers,http://commons.wikimedia.org/wiki/Special:FilePath/Algiers_Montage.png?width=300
http://dbpedia.org/resource/Arnold_Schwarzenegger,http://commons.wikimedia.org/wiki/Special:FilePath/Arnold_Schwarzenegger_by_Gage_Skidmore_4.jpg?width=300
http://dbpedia.org/resource/Adam_Smith,http://commons.wikimedia.org/wiki/Special:FilePath/Adam_Smith_The_Muir_portrait.jpg?width=300
http://dbpedia.org/resource/Amitabh_Bachchan,http://commons.wikimedia.org/wiki/Special:FilePath/Indian_actor_Amitabh_Bachchan.jpg?width=300
http://dbpedia.org/resource/Art_Deco,http://commons.wikimedia.org/wiki/Special:FilePath/Chrysler_Building_1_(4684845155).jpg?width=300
http://dbpedia.org/resource/Arizona_State_University,http://commons.wikimedia.org/wiki/Special:FilePath/Arizona_State_University_seal.svg?width=300
http://dbpedia.org/resource/American_English,http://commons.wikimedia.org/wiki/Special:FilePath/Non-RhoticityUSA.png?width=300
http://dbpedia.org/resource/Adobe_Systems,
http://dbpedia.org/resource/Ally_McBeal,http://commons.wikimedia.org/wiki/Special:FilePath/Ally_McBeal_S1_Opening.jpg?width=300
http://dbpedia.org/resource/Australian_Capital_Territory,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_Australian_Capital_Territory.svg?width=300
http://dbpedia.org/resource/Arkansas,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Arkansas.svg?width=300
"http://dbpedia.org/resource/Austin,_Texas",http://commons.wikimedia.org/wiki/Special:FilePath/Austin_August_2019_19_(skyline_and_Lady_Bird_Lake).jpg?width=300
http://dbpedia.org/resource/Augustine_of_Hippo,http://commons.wikimedia.org/wiki/Special:FilePath/Triunfo_de_San_Agustín.jpg?width=300
"http://dbpedia.org/resource/Ann_Arbor,_Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Ann_Arbor_Skyline_2021.jpg?width=300
http://dbpedia.org/resource/Atlanta_Falcons,http://commons.wikimedia.org/wiki/Special:FilePath/Atlanta_Falcons_logo.svg?width=300
http://dbpedia.org/resource/Arizona_Cardinals,http://commons.wikimedia.org/wiki/Special:FilePath/Arizona_Cardinals_wordmark.svg?width=300
http://dbpedia.org/resource/Astrology,http://commons.wikimedia.org/wiki/Special:FilePath/Marcantonio_Raimondi_-_Two_Women_with_the_Signs_of_Libra_and_Scorpio.jpg?width=300
http://dbpedia.org/resource/African_Americans,http://commons.wikimedia.org/wiki/Special:FilePath/Black_Americans_by_county.png?width=300
http://dbpedia.org/resource/Dedication_(Aaliyah_album),
http://dbpedia.org/resource/Afrikaans,http://commons.wikimedia.org/wiki/Special:FilePath/Distribution_of_Afrikaans_Language_Map_April_2022.svg?width=300
http://dbpedia.org/resource/Arabs,http://commons.wikimedia.org/wiki/Special:FilePath/Arab_people_around_the_world.svg?width=300
http://dbpedia.org/resource/Analgesic,http://commons.wikimedia.org/wiki/Special:FilePath/Opium_pod_cut_to_demonstrate_fluid_extraction1.jpg?width=300
http://dbpedia.org/resource/Acadia_University,http://commons.wikimedia.org/wiki/Special:FilePath/AcadiaUShield.svg?width=300
http://dbpedia.org/resource/AFC_Ajax,http://commons.wikimedia.org/wiki/Special:FilePath/Ajax_Amsterdam.svg?width=300
http://dbpedia.org/resource/Arthur_Miller,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur-miller.jpg?width=300
http://dbpedia.org/resource/Andhra_Pradesh,"http://commons.wikimedia.org/wiki/Special:FilePath/Talakona_forest,_Tirupati.jpg?width=300"
http://dbpedia.org/resource/American_Airlines,http://commons.wikimedia.org/wiki/Special:FilePath/American_Airlines_logo_2013.svg?width=300
http://dbpedia.org/resource/Australian_rules_football,http://commons.wikimedia.org/wiki/Special:FilePath/Archie_Smith.jpg?width=300
http://dbpedia.org/resource/Anthony_Hopkins,http://commons.wikimedia.org/wiki/Special:FilePath/AnthonyHopkins10TIFF.jpg?width=300
http://dbpedia.org/resource/A_cappella,http://commons.wikimedia.org/wiki/Special:FilePath/Roskilde_Cathedrals_Boys_Choir.jpg?width=300
http://dbpedia.org/resource/Anton_Chekhov,http://commons.wikimedia.org/wiki/Special:FilePath/Anton_Chekhov_1889.jpg?width=300
http://dbpedia.org/resource/Aargau,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_Canton_of_Aargau.svg?width=300
http://dbpedia.org/resource/African_National_Congress,http://commons.wikimedia.org/wiki/Special:FilePath/African_National_Congress_logo.svg?width=300
http://dbpedia.org/resource/Asian_Development_Bank,http://commons.wikimedia.org/wiki/Special:FilePath/Asian_Development_Bank_logo.svg?width=300
http://dbpedia.org/resource/Australian_Army,http://commons.wikimedia.org/wiki/Special:FilePath/Australian_Army_Emblem.svg?width=300
http://dbpedia.org/resource/Adam_Carolla,http://commons.wikimedia.org/wiki/Special:FilePath/2017-02-25_Adam_Carolla.jpg?width=300
http://dbpedia.org/resource/Amy_Grant,"http://commons.wikimedia.org/wiki/Special:FilePath/Amy_Grant_-_West_Wendover,_Nevada.jpg?width=300"
http://dbpedia.org/resource/Assassination,http://commons.wikimedia.org/wiki/Special:FilePath/Schauman_shoots_Bobrikov.jpg?width=300
http://dbpedia.org/resource/Ariel_Sharon,http://commons.wikimedia.org/wiki/Special:FilePath/Ariel_Sharon_Headshot.jpg?width=300
http://dbpedia.org/resource/Alan_Jay_Lerner,http://commons.wikimedia.org/wiki/Special:FilePath/Alan_Jay_Lerner_(1962).jpg?width=300
http://dbpedia.org/resource/Arthur_Laurents,"http://commons.wikimedia.org/wiki/Special:FilePath/Arthur_Laurents,_director_La_Cage_aux_Folles.jpg?width=300"
http://dbpedia.org/resource/Austria-Hungary,http://commons.wikimedia.org/wiki/Special:FilePath/Flag_of_the_Habsburg_Monarchy.svg?width=300
http://dbpedia.org/resource/Albert_Brooks,http://commons.wikimedia.org/wiki/Special:FilePath/Albert_Brooks_at_'Drive'_premiere_TIFF_9.10.11.jpg?width=300
"http://dbpedia.org/resource/Alameda,_California","http://commons.wikimedia.org/wiki/Special:FilePath/St._Joseph's_Basilica_(Alameda,_CA)_(cropped).jpg?width=300"
http://dbpedia.org/resource/Australian_Broadcasting_Corporation,http://commons.wikimedia.org/wiki/Special:FilePath/Australian_Broadcasting_Corporation_logo.svg?width=300
http://dbpedia.org/resource/Alexandria,"http://commons.wikimedia.org/wiki/Special:FilePath/Suez_canalst-Alexandria,_Egypt.jpg?width=300"
http://dbpedia.org/resource/Akira_Toriyama,http://commons.wikimedia.org/wiki/Special:FilePath/Akira_Toriyama_(cropped).jpg?width=300
